date,time,cum_ticks,open,high,low,close,volume,cum_buy_volume,cum_dollar_value
2023-03-03,12:25:03.691,429346,796.5,798.25,796.25,797.75,10001,1591992,1284822053.5
2023-03-03,12:31:00.122,432404,797.75,799.0,797.25,798.5,10001,1601993,1292805546.75
2023-03-03,12:35:49.488,435383,798.75,799.25,797.75,799.25,10027,1612020,1300812683.25
2023-03-03,12:42:19.743,438100,799.25,799.5,798.25,798.5,10057,1622077,1308848029.25
2023-03-03,12:46:55.614,441201,798.25,798.75,796.75,796.75,10012,1632089,1316835876.25
2023-03-03,12:49:14.132,443518,796.75,797.25,796.0,796.25,10000,1642089,1324802765.25
2023-03-03,12:51:34.949,446078,796.0,797.0,795.5,797.0,10000,1652089,1332766712.5
2023-03-03,12:54:55.827,448747,797.0,797.75,796.5,797.5,10058,1662147,1340785046.5
2023-03-03,12:59:32.739,451661,797.5,797.75,796.0,796.0,10001,1672148,1348755348.0
2023-03-03,13:02:21.357,454825,796.0,797.5,795.5,797.25,10002,1682150,1356722948.5
2023-03-03,13:06:23.386,457669,797.25,798.25,797.0,797.75,10002,1692152,1364701426.75
2023-03-03,13:10:44.936,460467,797.75,799.0,797.0,799.0,10029,1702181,1372702019.5
2023-03-03,13:13:18.054,463058,799.0,799.5,798.5,799.0,10000,1712181,1380692967.5
2023-03-03,13:17:09.935,465899,799.0,799.25,798.5,798.75,10001,1722182,1388683855.5
2023-03-03,13:22:02.516,468835,798.75,798.75,797.0,797.25,10000,1732182,1396663875.25
2023-03-03,13:24:17.758,471718,797.25,797.25,795.75,797.25,10007,1742189,1404634409.75
2023-03-03,13:27:30.258,474440,797.25,797.25,796.5,796.5,10009,1752198,1412610447.25
2023-03-03,13:29:13.865,476874,796.5,796.75,795.25,796.25,10067,1762265,1420622985.5
2023-03-03,13:30:37.933,479455,796.25,798.0,796.25,798.0,10000,1772265,1428598718.25
2023-03-03,13:33:22.975,482634,798.0,798.5,797.25,798.5,10001,1782266,1436579375.75
2023-03-03,13:36:01.118,485465,798.5,798.75,796.5,797.0,10000,1792266,1444558104.25
2023-03-03,13:39:21.387,488043,797.0,798.0,796.5,797.75,10003,1802269,1452531349.0
2023-03-03,13:42:51.740,491049,797.75,798.0,796.5,797.5,10003,1812272,1460506141.5
2023-03-03,13:46:06.496,494087,797.5,797.5,795.5,795.75,10002,1822274,1468471740.5
